sido_code,sido_name,sigungu_code,sigungu_name,lat,lon
28,인천광역시,28170,남구,37.4525957836578,126.664658504534
28,인천광역시,28185,연수구,37.3985640201171,126.647303325661
28,인천광역시,28200,남동구,37.4313488561901,126.726461010787
28,인천광역시,28237,부평구,37.4966587431931,126.721209447651
28,인천광역시,28245,계양구,37.5572969592657,126.734699930007
28,인천광역시,28260,서구,37.5578044330831,126.656377798465
28,인천광역시,28710,강화군,37.7124439463702,126.402088106516
28,인천광역시,28720,옹진군,37.5440112606974,125.636022168781
29,광주광역시,29110,동구,35.1173802314729,126.949464278293
29,광주광역시,29140,서구,35.1356931089764,126.850719139965
29,광주광역시,29155,남구,35.094058246229,126.856718099182
29,광주광역시,29170,북구,35.1932461078119,126.925486478595
29,광주광역시,29200,광산구,35.165035015064,126.752895215221
30,대전광역시,30110,동구,36.3239202317219,127.475037426818
30,대전광역시,30140,중구,36.2808601508367,127.411057308426
30,대전광역시,30170,서구,36.2802396257158,127.345104125158
30,대전광역시,30200,유성구,36.3767904924868,127.333256401427
30,대전광역시,30230,대덕구,36.4121786816404,127.44015180936
31,울산광역시,31110,중구,35.5710493389105,129.308242854328
31,울산광역시,31140,남구,35.5160499552684,129.32820225904
31,울산광역시,31170,동구,35.5255736518458,129.426065515166
31,울산광역시,31200,북구,35.6100539220539,129.379810506048
31,울산광역시,31710,울주군,35.5466167337385,129.186925498308
36,세종특별자치시,36110,세종특별자치시,36.5606577077713,127.25878005171
41,경기도,41111,수원시 장안구,37.3139656949375,127.003451705928
41,경기도,41113,수원시 권선구,37.2605301593287,126.979743844621
41,경기도,41115,수원시 팔달구,37.2774636263776,127.016238668158
41,경기도,41117,수원시 영통구,37.2749903870432,127.056698859559
41,경기도,41131,성남시 수정구,37.4351662434194,127.104145207623
41,경기도,41133,성남시 중원구,37.4334332323041,127.163909913139
41,경기도,41135,성남시 분당구,37.3793015652006,127.106064012078
41,경기도,41150,의정부시,37.7361921086982,127.068423081171
41,경기도,41171,안양시 만안구,37.4041334482309,126.911385562954
41,경기도,41173,안양시 동안구,37.4003918332148,126.955502710589
41,경기도,41190,부천시,37.5042583329255,126.788710884833
41,경기도,41210,광명시,37.4451590729482,126.864701314374
41,경기도,41220,평택시,37.0118307119911,126.987700731117
41,경기도,41250,동두천시,37.9165376080558,127.077912731503
41,경기도,41271,안산시 상록구,37.3160038290771,126.870815035149
41,경기도,41273,안산시 단원구,37.2819249106818,126.694041180178
41,경기도,41281,고양시 덕양구,37.6558098689314,126.878632101378
41,경기도,41285,고양시 일산동구,37.6798651411208,126.79755818289
41,경기도,41287,고양시 일산서구,37.6802051177656,126.727983527863
41,경기도,41290,과천시,37.4338452851064,127.002679466968
41,경기도,41310,구리시,37.5992214944815,127.131229917778
41,경기도,41360,남양주시,37.6625298136196,127.243660644781
41,경기도,41370,오산시,37.1632906795761,127.051329667292
41,경기도,41390,시흥시,37.3893974129503,126.788392826751
41,경기도,41410,군포시,37.3434826923013,126.921134688465
41,경기도,41430,의왕시,37.3623877442248,126.989625456096
41,경기도,41450,하남시,37.5228141773236,127.20594379921
41,경기도,41461,용인시 처인구,37.2033318957478,127.252933149866
41,경기도,41463,용인시 기흥구,37.2674266471046,127.121321535688
41,경기도,41465,용인시 수지구,37.3334474297137,127.071551073175
41,경기도,41480,파주시,37.8561919785348,126.810750156308
41,경기도,41500,이천시,37.2097758784679,127.481014112008
41,경기도,41550,안성시,37.0350270541425,127.302722292129
41,경기도,41570,김포시,37.6817723728081,126.626430622388
41,경기도,41590,화성시,37.1652366093612,126.874858489878
41,경기도,41610,광주시,37.4030907411204,127.301175951961
41,경기도,41630,양주시,37.8086575582412,127.001134902899
41,경기도,41650,포천시,37.9697780107604,127.250337280304
41,경기도,41670,여주시,37.3024584190453,127.615737344978
41,경기도,41800,연천군,38.0927299478823,127.024456396852
41,경기도,41820,가평군,37.8184331715876,127.450192131089
41,경기도,41830,양평군,37.5180558486651,127.579264460353
42,강원특별자치도,42110,춘천시,37.8897967866927,127.739868443904
42,강원특별자치도,42130,원주시,37.3082228773745,127.929525334327
42,강원특별자치도,42150,강릉시,37.7091019724069,128.832378859904
42,강원특별자치도,42170,동해시,37.5066813951912,129.055568795408
42,강원특별자치도,42190,태백시,37.172312409606,128.980072612542
42,강원특별자치도,42210,속초시,38.1760313786622,128.519541023358
42,강원특별자치도,42230,삼척시,37.277480888459,129.121710003243
